kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	23.01.2016	Právo	Valenta a Babiš se do sebe pustili kvůli sportu	04	Zpravodajství	(rsk, jim, ČTK)	1684
capihnizdo	23.01.2016	Právo	U ekonomických migrantů a šiřitelů nenávisti je jediné řešení – deportace	01	Titulní strana	Karolina Brožová Jan Martinek	27466
capihnizdo	22.01.2016	Právo	Údajný dotační podvod v Babišově Čapím hnízdě bere policie vážně	01	Titulní strana	Jakub Troníček	2518
capihnizdo	16.01.2016	Právo	Babiš: Uprchlíky přijímat nemůžeme	01	Titulní strana	Jan Rovenský	15501
capihnizdo	06.01.2016	Právo	Úřad EU proti podvodům zkoumá dotace Agrofertu	04	Zpravodajství	ČTK)	2962
capihnizdo	06.01.2016	Hospodářské noviny	Babišovo využívání dotací řeší policie i evropské úřady. Jsem oběť, tvrdí ministr	03	Události	Václav Dolejší, Jana Klímová	3747
capihnizdo	30.12.2015	Právo	Policie prověřuje dotace na Babišovo Čapí hnízdo	04	Zpravodajství	(ČTK)	1009
capihnizdo	30.12.2015	Lidové noviny	Dotace pro Babišovu farmu zajímá policii	01	Titulní strana		343
capihnizdo	30.12.2015	Lidové noviny	Policie zkoumá dotaci pro Babišovu farmu	03	Domov	čtk	1323
capihnizdo	28.12.2015	Hospodářské noviny	NA JAŘE BABIŠCONI NEEXISTOVAL. TEĎ UŽ ANO	20			8927
capihnizdo	23.12.2015	Lidové noviny	Šanci na úspěch zvýší dobrý policista...	04	Domov	MARTIN SHABU, ONDŘEJ KOUTNÍK	17774
capihnizdo	08.12.2015	Hospodářské noviny	RANSDORF NA OKRAJI SMETIŠTĚ DĚJIN	09	Názory	Petr Honzejk	4204
capihnizdo	03.12.2015	Právo	Platby za přípravu EET prověří policie	04	Zpravodajství	(ČTK, zr)	708
capihnizdo	26.11.2015	Právo	Dotace podvodem? Na Babišovo Čapí hnízdo míří trestní oznámení	03	Zpravodajství	Jakub Troníček	3522
capihnizdo	29.04.2016	zpravy.iDNES.cz	KOMENTÁŘ: Zeman a Babiš? Souznění nápadné jako Eskymák na plovárně	00	Zprávy / Domácí	iDNES.cz, Miroslav Korecký	2738
capihnizdo	29.04.2016	iHNed.cz	Babiš si jel do Olomouckého kraje udobřit lékaře a sestry. I zdravotnictví by řídil jako firmu	00		Markéta Šrajbrová	4715
capihnizdo	29.04.2016	novinky.cz	KOMENTÁŘ: Pohádka o hradním pánovi, Čapím hnízdu a klokanovi Bimbovi - Jiří Pehe	00	Komentáře	Jiří Pehe	2895
capihnizdo	28.04.2016	aktualne.cz	Právě jsem se vrátil z Čapího hnízda. Babiš zahájil návštěvu Olomoucka debatou s voliči	00	Zprávy	Markéta Šrajbrová	3411
capihnizdo	28.04.2016	iHNed.cz	Prezident Zeman přijel na Čapí hnízdo. Babiš ho provedl po areálu, dorazil i Nejedlý	00		Radek Bartoníček, ČTK	4317
capihnizdo	28.04.2016	lidovky.cz	Zeman si prohlédl kontroverzní Čapí hnízdo. Babišovi předal litografii ‚Dobrý čáp‘	00	Zprávy / Domov	ČTK	4002
capihnizdo	28.04.2016	lidovky.cz	Zeman míří za Babišem do Čapího hnízda. Vezme si s sebou děti z Klokánků	00	Zprávy / Domov	ČTK	1277
capihnizdo	28.04.2016	novinky.cz	Zeman u Babiše: Nehrajme si v kauze Čapí hnízdo na soudce, ale dopadne to jako Budišov	00	Domácí	Barbora Zpěváčková	4485
